team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Lucknow Super Giants,Punjab Kings,2024-03-30,Lucknow Super Giants,bat,Lucknow Super Giants,MP Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, MP Yadav, M Siddharth","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, JM Sharma, LS Livingstone, SM Curran, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar",17,11,League,runs,21.0,200.0,20.0,N
Sunrisers Hyderabad,Gujarat Titans,2024-03-31,Sunrisers Hyderabad,bat,Gujarat Titans,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"TM Head, MA Agarwal, Abhishek Sharma, AK Markram, H Klaasen, Shahbaz Ahmed, Abdul Samad, Washington Sundar, PJ Cummins, B Kumar, M Markande, JD Unadkat","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, V Shankar, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, Noor Ahmad, DG Nalkande",17,12,League,wickets,7.0,163.0,20.0,N
Delhi Capitals,Chennai Super Kings,2024-03-31,Delhi Capitals,bat,Delhi Capitals,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,"Rasikh Salam, PP Shaw, DA Warner, RR Pant, MR Marsh, T Stubbs, AR Patel, Abishek Porel, A Nortje, Mukesh Kumar, I Sharma, KK Ahmed","M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman",17,13,League,runs,20.0,192.0,20.0,N
Mumbai Indians,Rajasthan Royals,2024-04-01,Rajasthan Royals,field,Rajasthan Royals,TA Boult,"Wankhede Stadium, Mumbai",Mumbai,"Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, HH Pandya, PP Chawla, TH David, G Coetzee, JJ Bumrah, Akash Madhwal, KT Maphaka","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, SB Dubey, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, N Burger",17,14,League,wickets,6.0,126.0,20.0,N
Lucknow Super Giants,Royal Challengers Bengaluru,2024-04-02,Royal Challengers Bengaluru,field,Lucknow Super Giants,MP Yadav,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Yash Thakur, Naveen-ul-Haq, MP Yadav","Yash Dayal, V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, MK Lomror, KD Karthik, Mayank Dagar, RJW Topley, Mohammed Siraj",17,15,League,runs,28.0,182.0,20.0,N
Kolkata Knight Riders,Delhi Capitals,2024-04-03,Kolkata Knight Riders,bat,Kolkata Knight Riders,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, SS Iyer, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","KK Ahmed, DA Warner, PP Shaw, MR Marsh, Abishek Porel, RR Pant, T Stubbs, AR Patel, Sumit Kumar, Rasikh Salam, A Nortje, I Sharma",17,16,League,runs,106.0,273.0,20.0,N
Gujarat Titans,Punjab Kings,2024-04-04,Punjab Kings,field,Punjab Kings,Shashank Singh,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"MM Sharma, WP Saha, Shubman Gill, KS Williamson, B Sai Sudharsan, V Shankar, R Tewatia, Azmatullah Omarzai, Rashid Khan, Noor Ahmad, UT Yadav, DG Nalkande","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",17,17,League,wickets,3.0,200.0,20.0,N
Chennai Super Kings,Sunrisers Hyderabad,2024-04-05,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"Mukesh Choudhary, R Ravindra, RD Gaikwad, AM Rahane, S Dube, RA Jadeja, DJ Mitchell, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, M Theekshana","T Natarajan, TM Head, Abhishek Sharma, AK Markram, Shahbaz Ahmed, H Klaasen, Nithish Kumar Reddy, Abdul Samad, PJ Cummins, B Kumar, M Markande, JD Unadkat",17,18,League,wickets,6.0,166.0,20.0,N
Royal Challengers Bengaluru,Rajasthan Royals,2024-04-06,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,"Sawai Mansingh Stadium, Jaipur",Jaipur,"H Sharma, V Kohli, F du Plessis, GJ Maxwell, Saurav Chauhan, C Green, RM Patidar, KD Karthik, RJW Topley, Mayank Dagar, Mohammed Siraj, Yash Dayal","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, N Burger, SB Dubey",17,19,League,wickets,6.0,184.0,20.0,N
Lucknow Super Giants,Gujarat Titans,2024-04-07,Lucknow Super Giants,bat,Lucknow Super Giants,Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, MP Yadav","MM Sharma, B Sai Sudharsan, Shubman Gill, KS Williamson, BR Sharath, V Shankar, DG Nalkande, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, Noor Ahmad",17,20,League,runs,29.0,235.0,20.0,N
Mumbai Indians,Delhi Capitals,2024-04-07,Delhi Capitals,field,Mumbai Indians,R Shepherd,"Wankhede Stadium, Mumbai",Mumbai,"Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, HH Pandya, Tilak Varma, TH David, R Shepherd, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","KK Ahmed, PP Shaw, DA Warner, Abishek Porel, T Stubbs, RR Pant, AR Patel, Lalit Yadav, Kumar Kushagra, JA Richardson, A Nortje, I Sharma",17,21,League,runs,33.0,164.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,2024-04-08,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, Ramandeep Singh, RK Singh, AD Russell, AS Roy, MA Starc, VG Arora, CV Varun","Mustafizur Rahman, R Ravindra, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, AM Rahane, Sameer Rizvi, RA Jadeja, SN Thakur, TU Deshpande, M Theekshana",17,22,League,wickets,7.0,138.0,20.0,N
Sunrisers Hyderabad,Punjab Kings,2024-04-09,Punjab Kings,field,Sunrisers Hyderabad,Nithish Kumar Reddy,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"TM Head, Abhishek Sharma, AK Markram, Nithish Kumar Reddy, RA Tripathi, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",17,23,League,runs,2.0,183.0,20.0,N
Rajasthan Royals,Gujarat Titans,2024-04-10,Gujarat Titans,field,Gujarat Titans,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Jaipur,"KA Maharaj, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, KR Sen, YS Chahal","MM Sharma, B Sai Sudharsan, Shubman Gill, MS Wade, A Manohar, V Shankar, R Tewatia, M Shahrukh Khan, Rashid Khan, Noor Ahmad, UT Yadav, SH Johnson",17,24,League,wickets,3.0,197.0,20.0,N
Royal Challengers Bengaluru,Mumbai Indians,2024-04-11,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,"Wankhede Stadium, Mumbai",Mumbai,"V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, KD Karthik, MK Lomror, Saurav Chauhan, Vijaykumar Vyshak, Akash Deep, RJW Topley, Mohammed Siraj","Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, HH Pandya, Tilak Varma, TH David, Mohammad Nabi, R Shepherd, S Gopal, JJ Bumrah, G Coetzee",17,25,League,wickets,7.0,197.0,20.0,N
Lucknow Super Giants,Delhi Capitals,2024-04-12,Lucknow Super Giants,bat,Delhi Capitals,Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, DJ Hooda, A Badoni, KH Pandya, Arshad Khan, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, RR Pant, T Stubbs, SD Hope, AR Patel, Kuldeep Yadav, Mukesh Kumar, I Sharma, Abishek Porel",17,26,League,wickets,6.0,168.0,20.0,N
Punjab Kings,Rajasthan Royals,2024-04-13,Rajasthan Royals,field,Rajasthan Royals,SO Hetmyer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"Atharva Taide, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, Shashank Singh, LS Livingstone, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","KR Sen, YBK Jaiswal, Tanush Kotian, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, KA Maharaj, TA Boult, Avesh Khan, YS Chahal",17,27,League,wickets,3.0,148.0,20.0,N
Chennai Super Kings,Mumbai Indians,2024-04-14,Mumbai Indians,field,Chennai Super Kings,M Pathirana,"Wankhede Stadium, Mumbai",Mumbai,"AM Rahane, R Ravindra, RD Gaikwad, S Dube, DJ Mitchell, MS Dhoni, RA Jadeja, Sameer Rizvi, SN Thakur, TU Deshpande, Mustafizur Rahman, M Pathirana","Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, S Gopal, JJ Bumrah, G Coetzee",17,28,League,wickets,8.0,162.0,20.0,N
Lucknow Super Giants,Kolkata Knight Riders,2024-04-14,Kolkata Knight Riders,field,Kolkata Knight Riders,PD Salt,"Eden Gardens, Kolkata",Kolkata,"Q de Kock, KL Rahul, DJ Hooda, A Badoni, MP Stoinis, N Pooran, KH Pandya, Arshad Khan (2), Mohsin Khan, Ravi Bishnoi, S Joseph, Yash Thakur","CV Varun, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, RK Singh",17,29,League,runs,20.0,207.0,20.0,N
Sunrisers Hyderabad,Royal Challengers Bengaluru,2024-04-15,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,TM Head,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,"M Markande, Abhishek Sharma, TM Head, H Klaasen, AK Markram, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan, Nithish Kumar Reddy","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, Saurav Chauhan, KD Karthik, MK Lomror, Anuj Rawat, Vijaykumar Vyshak, RJW Topley, LH Ferguson",17,30,League,runs,25.0,288.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,2024-04-16,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,"Eden Gardens, Kolkata",Kolkata,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, AD Russell, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","KR Sen, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Avesh Khan, YS Chahal",17,31,League,wickets,2.0,224.0,20.0,N
Gujarat Titans,Delhi Capitals,2024-04-17,Delhi Capitals,field,Delhi Capitals,RR Pant,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, A Manohar, R Tewatia, M Shahrukh Khan, Rashid Khan, MM Sharma, Noor Ahmad, SH Johnson, S Sandeep Warrier","KK Ahmed, PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, Sumit Kumar, T Stubbs, AR Patel, Kuldeep Yadav, I Sharma, Mukesh Kumar",17,32,League,wickets,6.0,90.0,20.0,N
Mumbai Indians,Punjab Kings,2024-04-18,Punjab Kings,field,Mumbai Indians,JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, G Coetzee, S Gopal, JJ Bumrah","Arshdeep Singh, SM Curran, P Simran Singh, RR Rossouw, LS Livingstone, Harpreet Singh, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",17,33,League,runs,9.0,193.0,20.0,N
Chennai Super Kings,Lucknow Super Giants,2024-04-19,Lucknow Super Giants,field,Lucknow Super Giants,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"AM Rahane, R Ravindra, RD Gaikwad, RA Jadeja, S Dube, Sameer Rizvi, MM Ali, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Q de Kock, KL Rahul, N Pooran, MP Stoinis, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur",17,34,League,wickets,8.0,177.0,20.0,N
Sunrisers Hyderabad,Delhi Capitals,2024-04-20,Delhi Capitals,field,Sunrisers Hyderabad,TM Head,"Arun Jaitley Stadium, Delhi",Delhi,"TM Head, Abhishek Sharma, AK Markram, H Klaasen, Nithish Kumar Reddy, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Washington Sundar, B Kumar, T Natarajan, M Markande","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, Abishek Porel, T Stubbs, RR Pant, Lalit Yadav, AR Patel, A Nortje, Kuldeep Yadav, Mukesh Kumar",17,35,League,runs,67.0,267.0,20.0,N
Kolkata Knight Riders,Royal Challengers Bengaluru,2024-04-21,Royal Challengers Bengaluru,field,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",Kolkata,"Suyash Sharma, PD Salt, SP Narine, A Raghuvanshi, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, SS Prabhudessai, MK Lomror, KD Karthik, KV Sharma, Mohammed Siraj, LH Ferguson",17,36,League,runs,1.0,223.0,20.0,N
Punjab Kings,Gujarat Titans,2024-04-21,Punjab Kings,bat,Gujarat Titans,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"SM Curran, P Simran Singh, RR Rossouw, JM Sharma, LS Livingstone, Shashank Singh, Ashutosh Sharma, Harpreet Singh, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, Azmatullah Omarzai, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, Noor Ahmad, MM Sharma",17,37,League,wickets,3.0,143.0,20.0,N
Mumbai Indians,Rajasthan Royals,2024-04-22,Mumbai Indians,bat,Rajasthan Royals,Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",Jaipur,"N Thushara, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, Mohammad Nabi, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Powell, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",17,38,League,wickets,9.0,180.0,20.0,N
Chennai Super Kings,Lucknow Super Giants,2024-04-23,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, RA Jadeja, S Dube, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Yash Thakur, Q de Kock, KL Rahul, MP Stoinis, D Padikkal, N Pooran, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan",17,39,League,wickets,6.0,211.0,20.0,N
Delhi Capitals,Gujarat Titans,2024-04-24,Gujarat Titans,field,Delhi Capitals,RR Pant,"Arun Jaitley Stadium, Delhi",Delhi,"Rasikh Salam, PP Shaw, J Fraser-McGurk, AR Patel, SD Hope, RR Pant, T Stubbs, Abishek Porel, Kuldeep Yadav, A Nortje, KK Ahmed, Mukesh Kumar","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, M Shahrukh Khan, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad",17,40,League,runs,4.0,225.0,20.0,N
Royal Challengers Bengaluru,Sunrisers Hyderabad,2024-04-25,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,RM Patidar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, LH Ferguson, Yash Dayal, Mohammed Siraj","T Natarajan, Abhishek Sharma, TM Head, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, B Kumar, JD Unadkat, M Markande",17,41,League,runs,35.0,207.0,20.0,N
Kolkata Knight Riders,Punjab Kings,2024-04-26,Punjab Kings,field,Punjab Kings,JM Bairstow,"Eden Gardens, Kolkata",Kolkata,"AS Roy, PD Salt, SP Narine, VR Iyer, AD Russell, SS Iyer, RK Singh, Ramandeep Singh, A Raghuvanshi, CV Varun, Harshit Rana, PVD Chameera","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, RD Chahar",17,42,League,wickets,8.0,262.0,20.0,N
Lucknow Super Giants,Rajasthan Royals,2024-04-27,Rajasthan Royals,field,Rajasthan Royals,SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"A Mishra, Q de Kock, KL Rahul, MP Stoinis, DJ Hooda, N Pooran, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Powell, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",17,43,League,runs,10.0,258.0,20.0,N
Delhi Capitals,Mumbai Indians,2024-04-27,Mumbai Indians,field,Delhi Capitals,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Delhi,"Rasikh Salam, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Kumar Kushagra, Kuldeep Yadav, LB Williams, KK Ahmed, Mukesh Kumar","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, PP Chawla, L Wood, JJ Bumrah",17,44,League,wickets,7.0,197.0,20.0,N
Chennai Super Kings,Sunrisers Hyderabad,2024-04-28,Sunrisers Hyderabad,field,Chennai Super Kings,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, MM Ali, RA Jadeja, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","T Natarajan, TM Head, Abhishek Sharma, Anmolpreet Singh, AK Markram, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat",17,45,League,wickets,9.0,201.0,20.0,N
Gujarat Titans,Royal Challengers Bengaluru,2024-04-28,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,WG Jacks,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, M Shahrukh Khan, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad","V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, C Green, KD Karthik, KV Sharma, Mohammed Siraj, Yash Dayal, Swapnil Singh",17,46,League,runs,78.0,213.0,20.0,N
Delhi Capitals,Kolkata Knight Riders,2024-04-29,Delhi Capitals,bat,Kolkata Knight Riders,CV Varun,"Eden Gardens, Kolkata",Kolkata,"PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, AR Patel, T Stubbs, Kumar Kushagra, Kuldeep Yadav, Rasikh Salam, LB Williams, KK Ahmed","CV Varun, PD Salt, SP Narine, RK Singh, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, A Raghuvanshi",17,47,League,wickets,7.0,154.0,20.0,N
Mumbai Indians,Lucknow Super Giants,2024-04-30,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","MP Yadav, KL Rahul, AA Kulkarni, MP Stoinis, DJ Hooda, N Pooran, AJ Turner, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan",17,48,League,wickets,4.0,145.0,20.0,N
Chennai Super Kings,Punjab Kings,2024-05-01,Punjab Kings,field,Punjab Kings,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"AM Rahane, RD Gaikwad, S Dube, RA Jadeja, Sameer Rizvi, MM Ali, MS Dhoni, DJ Mitchell, DL Chahar, SN Thakur, RJ Gleeson, Mustafizur Rahman","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, RD Chahar, HV Patel, K Rabada",17,49,League,wickets,7.0,163.0,20.0,N
Sunrisers Hyderabad,Rajasthan Royals,2024-05-02,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"JD Unadkat, TM Head, Abhishek Sharma, Anmolpreet Singh, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, T Natarajan","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, R Powell, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",17,50,League,runs,1.0,202.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,2024-05-03,Mumbai Indians,field,Kolkata Knight Riders,VR Iyer,"Wankhede Stadium, Mumbai",Mumbai,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, RK Singh, MK Pandey, AD Russell, Ramandeep Singh, MA Starc, VG Arora, CV Varun","N Thushara, Ishan Kishan, RG Sharma, Naman Dhir, SA Yadav, Tilak Varma, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah",17,51,League,runs,24.0,170.0,20.0,N
Gujarat Titans,Royal Challengers Bengaluru,2024-05-04,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,"WP Saha, Shubman Gill, B Sai Sudharsan, M Shahrukh Khan, DA Miller, R Tewatia, Rashid Khan, V Shankar, MJ Suthar, MM Sharma, Noor Ahmad, J Little","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, C Green, KD Karthik, Swapnil Singh, KV Sharma, Mohammed Siraj, Vijaykumar Vyshak",17,52,League,wickets,4.0,148.0,20.0,N
Kolkata Knight Riders,Lucknow Super Giants,2024-05-05,Lucknow Super Giants,field,Kolkata Knight Riders,SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, RK Singh, SS Iyer, Ramandeep Singh, VR Iyer, MA Starc, Harshit Rana, CV Varun","Yash Thakur, Mohsin Khan, KL Rahul, AA Kulkarni, MP Stoinis, DJ Hooda, N Pooran, A Badoni, AJ Turner, KH Pandya, Yudhvir Singh, Ravi Bishnoi, Naveen-ul-Haq",17,53,League,runs,28.0,168.0,20.0,N
Chennai Super Kings,Punjab Kings,2024-05-05,Punjab Kings,field,Chennai Super Kings,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,"Simarjeet Singh, AM Rahane, RD Gaikwad, DJ Mitchell, S Dube, MM Ali, RA Jadeja, MJ Santner, SN Thakur, MS Dhoni, TU Deshpande, RJ Gleeson","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, RD Chahar, K Rabada",17,54,League,runs,98.0,236.0,20.0,N
Sunrisers Hyderabad,Mumbai Indians,2024-05-06,Mumbai Indians,field,Mumbai Indians,SA Yadav,"Wankhede Stadium, Mumbai",Mumbai,"TM Head, Abhishek Sharma, MA Agarwal, Nithish Kumar Reddy, H Klaasen, M Jansen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Sanvir Singh, B Kumar, T Natarajan","Ishan Kishan, RG Sharma, Naman Dhir, SA Yadav, Tilak Varma, HH Pandya, TH David, A Kamboj, PP Chawla, JJ Bumrah, N Thushara",17,55,League,wickets,7.0,174.0,20.0,N
Delhi Capitals,Rajasthan Royals,2024-05-07,Rajasthan Royals,field,Delhi Capitals,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Delhi,"J Fraser-McGurk, Abishek Porel, SD Hope, AR Patel, RR Pant, T Stubbs, Gulbadin Naib, Rasikh Salam, Kuldeep Yadav, Mukesh Kumar, I Sharma, KK Ahmed","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SB Dubey, R Powell, D Ferreira, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",17,56,League,runs,20.0,222.0,20.0,N
